4,41,27,4.29,64,59.61,48,-2.89,22.87,15.16
24.69,64.53,91,-28,32,68.4,-5.19,143,61,78
55.26,102,95,-25,74,53.69,9.3,-14.67,61.1,30
-50,43.53,68.72,69,-36,90,92,35.77,74.6,21.43
64.51,68.11,-24,54.31,28.48,31,46.05,46.21,-50,49
90,102,44.07,-17,66.99,34.16,57,33.42,30,-35
50.15,71.52,-28,18,36,71,76,-22.26,9.45,-8.03
66.56,-19.18,124,99,1,31,25,31.82,70.8,-11.63
70,-7,109,118,54.74,-4,-8.54,22.33,74,59.95
26.05,20.42,122,133,42.7,33.11,146,74.14,109,29
-10.51,-5.32,-5,55.03,25,61.43,-36,-31,42.91,-22
79,-38,101,-14.93,81,14,127,136,18.85,28.46
83,-10,-42,-3,39,10.3,56,149,32.76,68
31,53.43,-24.94,135,13.45,39.74,56.79,-26,26.06,71.31
80,-7,45.82,147,120,86,25.87,75,2.69,14
64,24,18.2,22,14.53,35.88,102,1,-9,80
61,30,63.25,54.59,106,127,-9,107,-37,25.25
11,-34,65,-19.44,14,-7,83,137,-5.6,-43
-11,135,-42,105,139,-16,93,-11.51,-23.16,80
-9.3,-20.9,113,119,-4,66,50.43,59.97,27.36,12
43,24,83,-15.83,-5,35.35,77,19,1,18.4
82,66.19,21,-10,6,78,22,97,65,98
67,72,72.93,-21,-33,86,30.64,-38,31.37,40.06
21.21,123,51,70.32,105,-7.74,50.69,73,2,48.78
-6.95,55,1.09,94,-11,96,68.34,56.27,57,69
56,0.45,68.3,10,103,25.06,-3.77,17,114,20.24
22.94,-48,82,3,-16.13,145,25,100,103,44.52
55,48,39.4,3.02,-45,33,74.74,-23,62,58.33
35.32,4.75,16,-25,16.62,-17,43.54,143,-21,67
4,148,4.82,-39,119,112,11,122,40,9.2
46.26,-6.17,14.45,52,8.45,-15.23,-19,-16.19,14,24.49
-6,6.26,-41,7,-33,50.14,50.7,124,9,-13.55
51,21.97,8.37,-9,-20,63,62,43.63,124,21
54.34,68.93,143,5,-6.17,139,63.33,65.16,36.74,148
-7.39,0.57,87,34,124,88,67,20.81,112,57.68
73,22.57,-5,-24,51,51,145,50,35.51,15
-44,54,73,8.45,-20.27,90,30,69.95,51.93,99
130,105,-40,-11.28,25.38,57,61,10.52,-10,67
72.14,53,70.51,-41,74,147,-15.06,-49,104,-15.07
47,-42,67,21.11,9,77,26.57,-13,88,52.51
60,91,70,50.7,93,62,-40,-24.91,10.76,-37
122,8.67,48.39,132,28,125,48,1,106,-3.2
54,-29,111,12,34,11.92,52,-6,36.47,95
29.43,98,-16,37,136,77,143,24.57,-9,-22.11
-41,20,-7,-4.31,-3,48,14.95,26,-37,-21.18
13.74,13,0,15.57,9.11,-6.86,55.32,73,113,-19.78
-24.92,68,14,37.48,64,16.01,24.61,26.49,29.61,62.46
53,149,2.85,30.51,18.48,59.02,-35,24.43,63.81,0.43
109,77,-8.25,106,35,-21,-38,-21.55,63.82,140
110,66,47,50.51,19,23.76,30.11,-6,69,-7
68.43,56.2,-14.99,44.87,116,-2,-15.31,88,-23.89,10.22
137,-32,65.3,81,40.84,145,39.14,60.74,35,122
47.55,56,67,101,120,-13.29,74.73,-17.42,21,103
53,75,57.29,45.84,57,124,97,32.83,58.29,-19.46
-22.15,73,17,71.79,42,-4.58,-16,1.84,39.76,89
106,34.89,-2,11,133,62,12.66,26.1,-15.37,-13
14,-27,120,-11,112,-16.01,78,13.93,-4.27,41
0.35,45,54,20,37,22,135,50.34,10,55.67
74,53.98,116,69,9.71,41.47,43,82,-6.57,-23.47
49.13,61.89,97,-13,-3.51,-40,36.87,61.75,-18.98,0
96,40,79,138,5,135,43.27,-14.73,5.75,34.58
87,137,139,-23,103,20.74,-15,74,19,92
42,11,14,44,65.77,-20.34,18,88,-5.2,30.9
35.7,113,-19.38,43,57,24.21,-10,37.21,-4,17
59,21.84,20.21,69.97,-38,7.81,51,124,54.91,71
45.67,-39,36,135,108,7,119,42.16,-24.25,22.98
86,-35,74.11,60.02,30.08,0,4,-21,-24.71,-21
145,120,51.39,73,-12.87,10,31.91,29,105,-16
8,66.91,-23.52,-48,143,64,-0.12,38.47,3,5.58
-35,95,22.15,9.42,-22,14,-35,139,-19.84,23
2.5,18,-17,-32,87,53.14,57,42.23,-22.18,-50
-39,-21,-3,49.51,-36,38,29,-14.38,15,123
33.15,4,-10.87,33,-18.41,18.45,72.52,12,143,72.68
3,71,-10.68,-18.68,55.59,31.12,-48,58.53,107,-3
-17,128,29,4.88,8,44.61,55.95,7,-17.1,134
41.19,136,13,21,73.4,104,-30,69.61,37.75,7.39
16.84,136,-6.69,50,36.47,113,11.76,4.3,22,65.15
90,-18,-5.38,59.32,23.43,28,-40,48,103,52.68
102,-7.5,20,30.32,26.97,34.41,61.77,6,18.06,79
44,39.1,7.18,148,107,65.83,62.77,1.06,46.56,2
58.87,144,-11,-43,59.94,-22.91,62,21,-5.49,59
19.57,131,70,67,-40,59.9,25.94,-47,14,26
-2.59,121,126,2.11,114,-0.42,20.54,99,8,-12
-18.5,-6,-5,19,67.98,7.04,56.09,-1,50,27.94
62,5,55,30.75,120,51.9,74,2.41,97,8
-21.89,27.38,7,44.2,49,-6,32.41,-21,-11.13,76
-21,74.86,87,54,5.08,55.79,-24.16,102,68.56,114
8,-36,101,16.32,15,-42,36,37.76,27.94,78
54.85,13,87,56,19,35,19.21,44,17.32,82
35,18.4,110,-42,-45,-23,-3.03,-50,40,-38
87,126,1.93,-19.74,15.96,134,-2,55.51,29.5,8.74
65,-1,-23.12,113,-39,-6.35,-29,-23,-3.84,4
67.95,45.92,24.77,41.75,85,56.3,23.86,39.74,-18,10
25,147,15.12,130,-15,32,19.38,98,-13.22,135
-33,19,108,34,47,-16,72,140,109,59.51
116,91,128,12.85,128,6.97,60.88,70.7,25,24.93
-47,115,-34,45.87,7,130,-30,42.71,109,128
-23,141,56.85,45,54,-49,27,28,35,-16.82
119,17.1,124,50.92,3,58,-11.81,-11.1,-38,22.12
61,-30,60.24,137,103,-48,83,4,143,-18.75
-16.4,-5.1,11,43.79,73,31.83,-0.67,-20.62,-48,79
49.21,67.38,58.28,2.31,61.01,4,28.31,19,59.53,-22.49
-7,30.45,65.14,-21,110,109,10,71,76,22.06
3.86,48.24,-8.03,98,-10,-3,100,74.91,57.36,33
66,116,20,100,57.04,41.02,102,105,42.83,36.09
130,131,96,4,5.61,61,30.02,27.44,50.22,34
58.24,57.39,-19.87,8,53,25.5,2.18,-40,-30,31
43.88,103,77,36,-18,-4.56,69.98,-2.98,138,19
18,91,31.03,80,33.11,25,-34,86,-9,68
18,-40,17,-30,48,69.69,131,104,71,55
70.04,1,78,22.82,25,109,35,66,73,-8.1
-12,-1.14,-27,40,-2.39,50,17,-32,102,-20
31.16,103,3,14,-21.58,70.68,40,6.71,32,73
67,10.42,16,131,8,21,46.1,-13,51.79,46.7
56,50,38,15.24,127,16,72,50,136,90
74,60.79,19.6,-33,-29,130,88,58.71,-2.74,-28
80,19.03,-30,112,-31,-47,10,72.05,26,30.99
70,17,58,21.73,82,112,115,-12.44,139,19
29,-9,-7,45.21,59.22,18,-17,19,126,-9.07
36.14,57,142,29,-20,35,-30,52.37,-23,28.77
104,98,107,36.55,52,18,131,90,106,34.31
103,95,71.63,95,64.69,69.45,-19,-15.85,15,71
18.48,0.9,92,74.16,149,4.69,149,-19.9,-18.57,24
21.56,1.36,3,-9.19,64,51,40.03,44.13,79,-16.3
18,31,51,-19.06,57,0.01,24,35,49,79
28.48,-45,45.83,-14.68,-0.51,14,29,-36,-4,145
0.17,3.29,-27,148,68.67,53.61,-13,116,29,116
-49,66,49.58,121,-5.06,-21,11,61.08,46,47
38.73,111,109,70.2,56,-34,64.3,125,-9.81,-17.07
10,39.61,-12.23,65,113,84,46.33,-32,128,62
3.67,36,76,29,-18.71,-1,-9,-40,120,40.34
82,-15,41,-8.75,63.23,71,-4.15,141,21,-35
66,60.62,50.38,108,7,9.42,109,28,-4,54.21
-6,11.12,-12.63,41,55,-10.71,30.6,118,-29,-18
47.52,-17,22,-11.63,73,27,-3.13,146,-49,-9.89
65,45.27,40.36,55,109,46.99,32.6,-6.12,44.1,36.09
144,-46,97,55.95,11.74,58,-34,59.21,62.82,-9.52
3,43,86,84,54,-23.4,11.14,-11.89,24,-40
4.92,13.01,61.75,-0.58,83,16.81,14,-41,-19.49,72.78
-4.59,45.39,-6.4,-41,109,75,38.01,131,-33,8.05
19,38,26.78,13,134,134,149,19.57,59.08,-18.8
70,22.32,62,-23.54,12.27,99,29,-0.61,68,13.78
83,19.51,108,53.59,71,23,140,26.39,50,68.14
30.25,6,121,17,68,-26,2.07,-5.75,-16.31,133
26,-8,-23,-38,51,144,34.76,-19,-10,27.04
-2.88,-8,-8,96,37,4,145,29,45,138
-15.47,16.95,-21,-8.87,-19.41,110,80,24,54.45,107
-17.86,-17,19,105,-26,144,42,-13,74.41,-39
29.18,62.47,46.07,125,86,61.23,64,39.04,24.51,34
37.84,71,-20.12,23,143,-0.98,140,43,18.38,45.68
-6,28.1,53,13.24,-9.2,-7.32,52.03,-3.74,119,-4.22
64.06,41,129,60,22.33,43,57,48.59,-35,74.98
66.9,20.98,-24,-15,-33,95,133,-46,4,25.54
-24.16,93,24.17,34.64,49,25,-6,-36,-12.6,34.56
14,60.37,19.94,-17,53.7,116,-32,66,39.41,5
55,-6.63,70.12,133,30.59,30.96,-6.76,74.4,0.61,-25
58.78,73.41,11.07,74.47,15,-28,22,-20.51,27,91
88,61.04,95,63.17,10.15,23,56.24,6,-7,63.22
62.36,23.02,-7,148,47.25,-11,-17.03,99,9,50.69
8.16,-16,149,-48,39,117,11.55,48.08,15.2,39.11
26,-32,7,124,33,108,52.57,149,93,124
-14.71,23.68,64,-47,8,37.52,30,43.89,-4.92,13.99
-29,4,-14,142,-23.55,-23.51,26,106,-9.01,35.95
53.97,93,133,-48,38,-25,52.2,56,74,13
-16,-16,125,74.72,123,73,33.23,56.75,-21,92
47,65,29.21,-9,63,-0.44,-12.9,0,-22,66
-5,-7,130,34,-45,54.69,-13,67.6,-13.9,128
7.91,104,-36,60,2.11,33,14.33,83,20.59,4.78
37.08,37,-1.59,19,-1,-32,-5,86,-12.24,2.22
65,49,54.58,0.2,45,15.11,-9.41,69.44,-45,148
18.83,63,-24,86,3.14,119,104,25.46,46.77,13
66.8,50,129,-13.93,61,-14.03,14.4,147,-8.85,68.65
9.45,54.67,58.71,-30,52,47.83,85,120,14.49,54
62,-9.85,30.7,-9.34,116,82,128,-12.84,52.48,68
117,-15,26.21,119,10.55,11,19.62,31.81,-37,68
103,17.62,-2,56,64.85,28.78,-13.86,-4.79,9,54.71
93,9,66,93,-20.3,-31,14.96,59,53.94,101
103,2,31.18,-39,63,11,67,117,-50,-14.77
9.03,43.62,62,-6.17,79,-6.13,3.14,-49,148,7
111,36,106,64.91,12,-14.24,92,28,14,13
35,50.85,148,139,31,4.27,-15,137,148,45.18
13.01,33.8,42.51,13.05,10.31,-43,143,-12,1.81,-2.16
122,37.22,-24.32,44,39.05,-10,34,35.42,44.71,-19
-11.1,-5.13,126,6.4,26.13,133,-5,-49,83,74.16
-19,12.45,74.61,75,141,46.59,33,47.38,140,5.52
33,45.29,33.33,66,1.76,-4.37,26.07,48,55,68.26
44.65,26,12.93,113,148,48.56,-6,1,44.56,136
-21,-12.52,42,44,22,-36,128,144,52.16,-10.46
-9.77,71,87,20,72.56,63,-8,9.69,67,35
69.53,-45,-35,47.82,-12.66,15.78,12.7,75,82,77
124,-24,-49,-14.95,-19,62.34,-30,-33,55.75,118
36.8,112,2.35,43,28.7,123,43,108,34.72,40
147,50,-8,73.48,64,-1,15.12,110,31.56,51.9
57,104,-41,52,83,101,23.3,49.64,123,51
4,33.99,52,71.37,-20.14,106,86,19.61,2,-46
69,10.17,-39,-28,17.99,18.01,2.19,34.51,47.74,-33
54.9,1,57,92,-21,120,-10,135,49,-1
-19,-21.22,-11.53,-35,18,-18.13,1,2.36,-38,31
108,22,-17.07,58.99,-8.61,37,42,-9,82,6
-49,-9,54,34.21,63,3.57,57,-6.36,-16.2,63
99,6,61.58,6,75,18,50.05,54,-5,101
138,40.59,134,26.17,147,0,108,44.48,60.45,43.21
90,68,15.53,-41,8.87,47,65,18,4,-14
74,27.19,-18,2,46,4,14,24.96,133,138
0.34,-24.78,62.29,29.96,55.63,-6.39,24,12,25,37
32,21.87,0.85,111,93,67.46,-32,16.48,100,72.02
28.87,28.98,-40,53,-50,-18.62,89,28,112,64.9
86,52,5,-24,25.3,-4.6,-23.79,-4,23.58,134
-8.02,30.1,43,-14,-9,1,-43,-39,32,41.58
-11,82,76,129,54,-19,28.25,60.78,13.41,59
25.51,-35,72.45,-9.71,-31,-26,26.77,-1.31,-13,75
51.07,2.02,127,39.74,7,26,-33,33.72,-27,142
40.38,6.69,2,14.33,64,100,67.89,18.12,131,28.47
22,138,-32,-11,50.57,64,-7.64,-1.95,109,107
-49,-1.29,74,119,10,-12.67,11.44,-45,32.47,-45
110,1.58,-6.04,82,13.05,-23,78,35,-14.02,66.97
29,111,113,-43,79,47.79,16.79,-46,81,14
74.27,97,12.99,142,-1.63,-7,65.48,32.02,17,-12.11
54,-18.23,50,29.21,-45,-5.45,-17.41,-28,-23.96,42
-16.08,45,40.66,44,35,-16.06,-5.23,107,-18,59.93
19,26.14,56.6,-22.59,19.88,55.29,-28,-3,-18.56,91
60.87,61.24,-1,82,89,38.4,43,45.27,49,-46
139,126,92,-4,29,78,-18,41,17.23,42
-33,80,-43,49,38,-24,83,-34,78,9.84
-21.23,11.69,79,8.85,117,19,90,27.98,16.18,-12.93
10.72,49,-37,40.72,-4.83,3.48,118,69.32,99,7
51.14,-41,71.36,141,107,58.08,3.79,113,-13,57
46.98,-17.82,16,25.53,21.79,94,69.36,-37,40.38,27.12
66.16,5.22,58.25,-3,117,20.82,104,-10.09,74.41,-6.65
33.85,21,46.28,37,127,101,-12,-25,127,-40
38.34,133,-22,10,-1,13,-3.66,13,51,63.47
-41,88,14.07,84,69.49,90,109,95,-38,48.6
20,-21,-27,48,41,-2.2,29,31.78,132,107
-21.63,5,4,39,37.1,143,37.32,47.33,81,149
53.5,135,-21.11,0.99,110,58,116,103,68.24,-11
94,20,127,105,2.16,52,72,84,-6.25,7
4.04,4,31,50,54.66,72.34,2.84,-7,46.26,107
30.6,40.24,64.62,86,100,44,68.38,86,64.8,1
35.08,48.49,2.96,35.35,99,11.9,-13,16.4,28.79,22
71.94,73,4,45.23,51.04,3.37,-30,6,-7.31,-18.09
124,6.41,36,17.2,40,15,10,-30,28.25,-12.5
69,73.32,52.21,122,4.89,91,-2,-37,26.79,31.78
9.91,-7.87,130,124,-3.35,-32,68,24.31,66.25,60.67
122,-19,138,-10,62.45,139,69.84,127,11.09,73.99
39,63.69,114,20,-4.53,119,65,-20.32,142,1.59
102,-3.39,-10,7.8,49.92,-10.69,26,-17.76,130,-31
37.16,-45,-21.76,43.45,143,138,21.18,111,47.05,71.38
113,109,34.02,43.02,135,-16,75,45.69,-8.73,51.86
50.05,29,114,42,48.82,14.15,7,111,27.78,-6
34.08,36.81,44.04,108,40.88,-3,14.6,-2.73,-37,68
19.36,67.11,-8.18,91,3.01,37.07,26,30,58.96,68.83
63,-11,32.78,-47,118,-9,49.03,-20.51,-14.67,26.85
-11.12,77,148,-10.73,75,34.12,40.38,-9.76,36,-30
99,91,124,133,21.01,60.78,9,73.41,62.37,11.15
16,22.93,-21.89,78,146,-3,45.14,57,70.89,59.53
45.12,62.76,65.78,45.4,3,-32,-3.29,45.02,59,63
25.58,22.42,21,115,-25,44,147,-15.16,-32,14
39,92,18.75,36,2.09,18.43,110,15.6,-3,28.97
54.68,72.13,96,2,2,104,106,18,69.82,36
-7,64.45,49,88,49,93,88,147,34,-3
68.55,35.97,-16.67,69.94,-34,33.78,-29,148,-6,113
38,26.68,149,13,103,105,-18.46,98,99,105
59.86,83,-32,-31,34.46,8.62,71.03,130,67,4
36,-11.97,52.36,-4.85,60,5.84,9.27,15.26,-0.93,-10
-10,54,20,44.31,-13,27,63,-9,-3.19,135
-4,71,43,11,136,-20.51,-17.73,-22.9,108,-44
-29,-24.53,49,75,137,116,48,55,-17,58
23,-9.62,24.77,40.75,103,-44,9,37,44.6,2
33.71,78,-3.37,48.86,75,90,52.3,32,81,15
18,37.9,2,38,17.81,-5,-23,44,34,148
47,27,-3,86,-23.6,-24,116,-10,21.84,33
110,66,87,49.43,-13.72,7.76,-23.57,131,126,104
-50,-28,-46,42.14,142,-17.7,29,14.36,49.74,41
1.5,18.77,-16,18,-13.48,13.18,30.47,-3.3,-18,18.18
-31,25.2,36.27,129,-44,-1,-4,72.57,-22.49,39.54
-24,54,36.05,-32,69,-31,17,35.84,-42,89
1,18.85,28,-2.38,-43,-16,97,40.48,37.34,-13.44
-5.33,124,-24,-33,51,24,-1,-18,128,65.74
25,55.49,-15,143,123,-2,59.38,-6,-8,83
123,106,40,64.06,-15,71.63,14,56.05,63,37
64.46,42,69,66.7,-12,124,23,56,61,-42
8.7,62,-17,40.41,-26,22.04,21,-48,12,39
73,42.65,34,126,74,-17.08,66.52,36.65,71,-10
2.62,145,17,7,47,67.16,38,22.2,-16,45.7
-18.65,14.2,50,117,96,-50,125,48.31,32.65,72
67.97,72.62,42.73,-15.72,34,-24,99,100,-25,62
88,41,-20.84,110,18.83,136,10,-8.08,16,132
42,11.27,-28,133,93,-20.54,21,-12.25,49.28,42.72
36,113,17,58,149,147,37,70.85,-34,13.35
31,31.7,144,-38,-27,77,112,96,13,-3
-21,21,8,18,61,-41,40.75,54.3,46,54.15
-1.84,8.93,39,-19.15,-34,89,32,90,73,37
3.77,142,63,-23.63,149,84,66,33.17,58.07,12
59,120,-7,93,91,67.09,-29,29,63.44,27
-5,139,31.39,127,-35,72.6,83,-19,64.56,11.5
24.75,86,76,-48,38.23,-16.93,107,103,-44,42
73.08,88,51.4,7.05,-17,20,58,-39,112,-16.19
13,25.1,43.37,18.23,58,124,50.14,-34,48.5,76
33.58,79,63,32,-17.13,127,-47,3.3,26.62,-3.28
1.42,22.25,5,66.19,-30,36,143,-6.07,110,111
138,51.4,4.95,21,111,138,60.3,64.92,61,8.86
61,127,29.38,-3.1,13.54,130,-21.61,75,-11.32,28
42,-8,-48,23,48,45.33,-19.69,72.09,7.56,2.52
42.58,22,15.1,29,-23.23,97,0.12,-46,0,7.94
8,35.63,80,62,119,-22,-11,21.16,39.19,53
-19.21,-15.26,134,1.54,35,50.81,49,37.62,2,69.66
-11.02,-19.05,127,-39,2.01,106,112,69.28,4.91,-13
41.22,6.8,-31,26,101,-26,-36,19.37,8.88,2.08
