35,-42,2,136,42,28.18,-20.82,38,65,-38,117,93,0.08,108,62.77,116,70.73,116,146,19.94,121,19.72,50,67,83
86,-42,-37,55,-25,118,-0.13,57.99,-11.78,-41,22,-23,-14,-17.88,-47,-2,56.1,-6.48,-19,-0.26,-8.24,142,60,6.51,4
28,-32,18.46,-17,-10,-41,92,5,40.11,58.29,-41,64.97,32,-17,7.85,37.64,-15,74,51,13,79,41.85,13,138,122
64.99,97,-10.56,-7.66,65.8,1.66,86,145,142,7,38.99,-23.41,-9.85,110,-5,10,59,-0.31,-5.89,-38,21.2,47.49,83,29,50
111,100,59,-27,3.66,17.11,25.7,-13,132,44,87,65.58,71.03,-23,54.7,43,50.32,19.96,29,136,59.78,29,-36,52.52,62.82
-1.34,53.46,78,17,37.27,23,-8,29,51.76,72.18,59,-12.69,144,10,18.72,-13.87,-27,-8,36.95,57,19.33,-2.76,65,4.4,80
60.25,43,48,55,-11.81,125,-18.29,83,-14,74,105,98,-12,23,-15.7,-5.89,-4.49,139,24.36,-42,145,39,54,28.48,82
-6.69,14.63,72.92,43.91,23,-0.67,-4.74,-45,-14.5,-0.56,40,7,69.39,87,6.27,52.43,13.85,2,15,149,42.78,114,65.84,-43,74.32
4.99,58.71,47,-34,45.23,10.4,-2.03,-47,109,32,66.45,26,-1.05,-38,23.6,90,53.62,39.59,43,2.82,65,53.29,135,117,9.36
20,29,19,87,66,61.25,-12,40.48,-8,25,110,12.82,37,117,125,82,-20.41,6,14,-28,29.27,29.8,55,27.32,80
6,-2.28,50.12,22,25.95,65.42,31,11.06,55,22,24,34.74,114,1,5,-41,-41,72,68.47,63,90,136,-36,59.76,14.05
41,80,-19,-6.98,82,-1,87,90,63,68,68,-23.62,146,39.45,148,-46,8.33,73.37,73,-12,38,48.66,67.08,0,-15.33
41,-16.48,0.12,-8,6,-47,100,6,50,83,52.43,0,60,5.48,21.63,62.03,57.49,-11.11,149,149,147,-14.42,-17,58,55
20,29,2.93,-15.47,-18.07,-24,-11.18,88,49.45,31.12,122,2,72,55.46,-36,53,3,68,50,42,25.82,37,-16.88,20.05,60.18
6,34.98,96,140,134,95,9.32,2,108,-2.8,1.84,21,40,-10.81,65,-25,0.82,70,5.02,-11.59,27.36,31,17.03,30.96,30
38.04,4.23,45,74,20,21.05,6.42,119,110,-6.14,148,146,115,22.52,43.18,-23.85,135,-13.99,73.3,-49,120,114,114,4.44,145
58,5.07,13,66.56,71,-43,66,68.38,-19,71.9,-2,4.53,38,55,23.01,61,125,59.61,0.33,10.28,71.16,37.26,-13.85,79,-7.19
57.35,28.56,119,-24,-9.96,22.96,76,48.48,122,80,5,126,-2.06,50,20.71,18,3,39.55,-8,64.5,84,46,49.37,33.85,39
74.92,4,-15.26,-31,-14.17,105,126,16.2,31,68,-48,-36,53,76,22.91,123,10.6,64,50,120,10.94,112,107,37.65,62.47
25,67.76,62.96,-23.76,39.55,134,141,58.1,-38,137,-16,-26,-2,-21,88,27,47.81,87,-42,136,59.75,68.92,91,123,-18.63
59,-33,67,131,67,-10,113,138,15,46.5,-47,58.18,94,24,-16.58,25.28,-28,-8.36,-30,29.43,139,-17.58,-21,37.33,99
114,40,41.24,-1,61.13,80,-44,102,54,-49,-1,27,115,18.62,33,4,126,15,66.47,43,-44,141,-46,79,8
43.7,122,62,-18.47,35,6,-45,-1.85,14.98,9.39,45.66,-12,116,26,56.74,12.46,121,-49,24,-16.56,51.33,51,64.51,-37,20
