-22.9,111,87,-22.21,37,100,80,36,143,25.19,28.52,26.77,-22.97,2.16,18
-13.57,130,48,-16,-44,77,67,62.08,24,-15,-10.11,69.28,22.06,-29,133
27.09,133,50.31,-19.96,100,25,64.76,143,33,56.32,73,21,38.55,78,46.85
31,66.37,92,132,143,50,27,66.57,-40,14.06,116,34.1,117,96,-47
54.98,27.12,99,56,24.37,51.87,69,21,45.35,33.44,-19,60,-17,-18,124
25.4,-13.07,-11.18,107,59,-43,27,5,37.19,53,27.65,16,84,8,72.83
-46,11.84,45.63,137,65.97,134,18.95,141,14,44.11,5,73,-8.75,71.14,-36
30.73,46.18,38,32.38,-13.18,0.82,106,104,-23.85,-12.67,147,6.51,23,16,-6
-10.9,144,34.1,117,93,127,-40,38,37,136,-22.29,15.54,73.87,-20,45.5
-50,57,50.74,43,-33,98,125,19.62,149,35,58.59,-46,72,73.97,5.07
42,22.14,35,50.89,49.02,28,72,55.08,-3,-16,49,18,-8.75,66.46,37.12
131,-1,64.38,51,45.5,-29,87,35.15,67,13.57,34.84,36,22,101,103
129,-37,37,-47,-8.05,74,6.67,30,-6,39.29,14.41,57.33,-11,-32,78
76,131,8,146,144,52,26.29,76,39,55,78,36,-12,105,89
55.84,42,81,123,79,48.48,103,82,139,41,116,51,21.36,-27,31
26.65,64,-1.16,34.44,89,88,146,71,39.24,8.29,122,96,126,1.42,36.26
49.49,63.73,142,129,122,-36,6.15,100,27,-41,148,-22,64.65,46,125
130,42.91,70.29,29.87,8,-39,97,95,96,140,132,35.18,-14.36,24,92
-18,-46,33,63,96,3.83,-16.72,66.05,7.17,-3.88,9,-19,-43,-43,32
74.68,114,64.9,-3.07,82,92,63.05,-9.31,-8.15,-20.64,66,70.5,140,45.32,32
-33,-23.18,-15,-24.79,83,73,4,-12,31.94,140,52,-11.85,46,56.85,134
131,119,-6,-1.83,3,55,-18.9,102,2.39,-26,12.15,-22,18.12,95,42.02
56.31,70,-34,75,35.34,-1,35.1,34.87,45.32,-35,45,25,72.99,-43,65.11
64.18,84,-7,-45,-8,8.43,32.56,96,-13.63,-11.39,-6,3.72,-30,55.52,86
86,33.51,55.47,59,41.66,34,71.84,7.15,56.34,8.91,-21.6,45.51,-41,-17.44,74.02
-17.12,3.69,8.51,34.42,14.48,75,119,-17.97,-13.33,1.66,48.82,-49,138,6,31.95
-45,38,141,28.52,8,49.61,38.33,46.68,47,16.81,-33,5.31,-9.02,15.38,43
17,111,129,-30,112,44,18,47,48.52,-10.2,-15,143,121,88,-5
-10.43,-24.44,88,38,49,129,104,-10,56.11,-27,5.12,-12.24,71.16,117,4.49
50.06,-39,40,142,103,63.86,-6.33,-7.97,37.99,-19.45,132,-44,-16.45,145,18
67.1,27.95,43,20.91,-6,60.02,0,50,15.01,-5,-20,20,63.2,1.58,-15
128,-8,149,-25,50.12,24.4,29,54.61,88,58,101,-31,2.45,17,21
47.38,97,57,89,-33,22.92,70.86,-20.39,65,44.84,18.76,106,21.89,44.21,64
138,15,146,-13.28,35,-24.76,-19,-33,149,9,121,19,52,-9,13.39
66,76,-40,97,12.48,30.65,56,-23.46,-18.52,25,-6.5,79,-30,-21,-22
-32,108,104,-8.65,-10,-24.05,98,124,71.82,48.49,50.46,46.44,-11.95,136,22.82
20.1,7.24,35,24.76,90,-47,23,121,33,-43,19,59.99,-18.09,58,69.55
24.79,-22,51.8,40.18,10,-16.91,82,18.21,-6.63,75,136,102,57,9.35,14
50.17,68.72,-5.98,34.45,40.56,-3.13,-32,-43,-19.02,134,31.61,29.32,17.88,1,-24
54.51,145,66.44,65,-32,-13.55,9.81,19.47,-16,-34,68,66.19,22,126,80
111,-4.85,0,-18.84,110,-9.48,-17.43,-31,27.54,109,122,74.76,30,73,122
-23,15.69,7,28,-3.98,70.8,-38,111,32.7,67,58.24,25.14,13.65,105,76
31.1,42.59,135,57,87,31.72,-14.07,69,115,73.53,9.3,55.91,-3.24,-16,-24.48
32.46,65,30.63,-3.37,22,113,-33,-24,44,31,-3,19.64,51,110,62.51
-7.4,-8.91,-12,-2,10,99,91,84,100,-21.97,9.75,100,33,3.6,63
78,6.76,-24.78,-18.07,35,-36,102,50.17,30,56,86,134,-3,61,-13
70.24,123,19.32,55,57,89,74.48,-16,-37,70.19,-26,-10,110,10.41,83
86,78,51.48,36.44,24.85,-13,69.9,-48,-24,109,-22.14,-27,-14,-1.66,28
-14.05,-14,10.71,8,43.6,-27,38,39.82,52.19,64,-8.41,29.08,7,51.58,71.29
-33,83,29.9,111,-16.77,45,-21,147,0,54.77,139,121,38.61,13.24,101
7.76,38.01,35.61,-35,33.41,86,61,59,-6,10.06,63,52,16.46,43.82,94
65,-4,32.51,99,43.56,146,7,60.62,55,137,93,-21,56.1,14,68
-26,45.09,-3.74,77,15,128,-16,12.4,41,-28,23.98,-21,139,20,-49
101,23,23,4,-11.84,-7,-3.09,73.52,47.93,31,27,-17.24,94,69,128
60,59,-16.09,1.73,35,27.38,107,121,28.98,48.38,0,136,-11,106,104
12,-42,29.48,51.36,56.26,81,1.3,21,-15.87,53.04,-10.86,96,13,14,59.48
13,67.57,51,107,-2,29,38.04,83,13.77,67.76,65.08,31.73,9.37,-2.84,-17
-17.17,21.22,115,51.68,90,10.12,32,-6.17,76,57.09,108,73.85,146,-7.3,109
-9.43,-8.15,-11.99,-3,135,14,-30,15.21,20.17,86,18,111,116,45,-1.23
38.58,59,15.3,22.56,22.66,93,60,66.97,18,17.52,-30,-35,48,122,25
-6.96,16,61.04,-3.76,0.78,135,102,117,94,38.57,117,63,29.97,69,5
-29,47.08,-17.83,72.26,8.93,45.86,21,34,71,14.13,116,72,70.63,34,140
147,-17.89,5,91,56.58,118,143,64.73,47,93,116,41.13,59.57,64.89,45.71
28.65,13.96,64,60.11,-38,-5.9,30,-26,119,32.74,-9.96,-18,20.77,68.27,33
9,-13,-18.83,38.93,-14.98,-39,62.9,13.47,5.33,-7.05,61,143,79,82,139
-35,64,77,98,50,-2.73,85,110,-18,13,108,-2.64,23,24,109
-11,9.56,37.34,129,10.5,3,39.1,83,-27,-16.06,-25,74,41.99,-19.92,-18
41.58,134,135,54.82,32,104,84,105,-8.27,69.06,141,27.22,-10.6,-13,88
29.99,67.82,61.27,-44,29.96,65.17,138,-6.69,-10.82,61,-19.23,-39,78,-20.98,-17
34.53,123,40,50.64,-30,129,101,-39,71.95,69.94,11.55,-9,147,48,67
-14,-0.22,41.61,-15,-13.66,47.27,5.27,58.62,51,-12,25.3,104,17.75,124,57
147,6.81,73,59,-7,17,-27,-19,-49,64.5,-44,77,11,109,-27
54.24,55,143,53,-49,37.48,114,86,31,121,71.32,-30,149,-3.22,30.56
-14.22,79,47.51,1,1.73,106,-9,71.36,30.11,19,-19.51,-10,85,40,23.52
-32,-23,46,-44,67.11,8,28,-12,129,25.58,133,148,27,11.07,-14
68,-35,38,-16.72,103,-19.25,104,-8.95,75,29.64,44.67,-21.27,-42,-6.83,-4
29.19,-16,41.58,73,51,-21,-27,-5.97,52,82,-3.58,-2.1,84,82,64.13
-13.44,146,63.11,68.51,53,-31,60.13,62,2,144,121,82,-43,59.72,84
127,-4.36,140,31,-47,127,29.6,25.83,-18,75,45.9,35.79,47.07,67.12,5
31.34,12,1.58,64,84,39.92,38,-23,16.16,-7.67,62.59,46.55,-23.81,96,-30
12,24.38,64.04,145,47,30.56,64,35.51,53.94,73.46,-45,73.51,36.55,-34,-21.6
-14.99,124,54,-28,-3.82,-9.31,-3,69.55,35,143,-15,0.03,-13,132,126
-5.78,117,-7.4,58.61,81,-44,-28,-13.06,-12,72,56.73,53.65,-3,74,74
138,40.88,109,86,21,-50,121,53,70.92,60.22,72.74,15.94,111,-20,51
-14.62,43.56,-20.49,144,-4,-10,67.06,35.13,-15,-33,15.48,32.33,56,43.98,1
23.78,70.51,126,129,145,19,82,65,45.2,-45,57.12,-32,31.46,-33,-1
79,51,34,-2.24,25,45,26.16,19.04,29.09,58.95,125,-26,137,100,-16.62
112,139,111,125,25.01,40.41,46,16.52,74,73,11.94,20,106,6.25,57.96
-39,42,9.4,-22.9,148,73,-11.48,73,60,-27,21.08,70.19,21,33.08,26.87
128,27.47,48,67,20.69,35,57.86,1.52,13,50.41,44.59,-15.46,5,82,50.85
30.19,68,21.02,66.09,115,63.08,15,84,115,28.02,-47,81,13.22,69,60.33
-10.5,-36,34.32,-14.49,36,6.84,16.36,96,-26,17.12,-23.32,6,30,21.99,-0.76
33.32,125,-45,74.33,41,139,-46,104,-25,-14,13.8,116,90,19,78
131,-1,84,142,64.38,115,25,67.34,64.42,148,84,45.49,55.48,16,-3
113,25.66,45.52,11.97,48,-42,55.21,50,16.34,-16,14,33.99,-14,37.88,-6.16
-12,73,39.76,-14.53,126,56,131,59.11,-2.12,-22.98,30.27,58,134,28.36,96
53,-7,56.92,-3,123,38.78,107,129,-4.5,-13,127,72,-13.16,25,60
-8.9,-8,57.18,39.29,-5,-24,49.83,72.54,69,9,143,48,87,64.55,33
21.03,39,27.08,-35,68,-17.24,49.09,114,1,84,23.21,38.12,33.86,31,143
22,76,58,-27,-43,103,-12.96,-23.78,5.28,129,111,31.51,19.07,33,-18
128,18.49,16,-34,51,112,89,53.77,137,62.09,26.58,53.42,60.66,84,15
3.65,-38,7,104,76,-4.93,67.38,51,127,59.07,87,-13.2,107,127,63.74
-24,1.56,71,-8,147,73,-45,31.73,21.09,73.07,67.3,62,16.36,104,-44
55,4.56,2,47,-29,30,43.07,-0.27,54.63,41.12,43.77,90,24.17,128,-12.05
108,16,-21,-14.45,-18,-13.13,95,54.44,126,38,-5,20.32,-19,90,-21
-9,-47,-33,-19.49,66.71,-28,14,133,112,17.01,22.45,149,16.38,-14.69,128
-46,20.23,36.71,12.91,116,14,56.23,64.59,55,73.76,70.29,47,77,138,29
100,71,98,-10.77,-16,-25,48.89,-3.44,-18.35,24.26,-40,20,8.76,55,92
85,101,17.62,41.69,53,3.28,16,-8.73,-17.33,80,51.02,44,32.72,54.21,63.22
-8.71,54.41,43.25,36.36,92,66.55,147,-47,39.87,75,81,39.21,113,61.64,52.73
62,-19.73,81,103,89,-42,70.42,45.75,8.74,73.3,-2.5,46,56,-28,6.95
138,41.4,88,12.71,71.75,36.23,0.36,11.9,120,-23,69.02,63,5,54,93
102,139,24,124,51.3,49,18.85,124,109,86,70.81,45.26,-18,46.06,-45
32.58,31.58,-35,47.97,25,55,35,72.43,-5,62.3,100,21,-21,15.5,35.87
46,-23,1.7,71.11,-44,22.74,-10,128,15.98,134,-6,42,13.11,5.11,81
9,100,36.06,22.4,18,106,149,74.1,-30,88,14.49,-1.86,-49,13.47,17.06
79,67.13,4.86,-17.88,-0.69,99,-17,136,115,-14.72,-3.34,57,124,59.84,36
-0.3,130,90,-3,10.15,133,121,-1,53.87,-40,15.16,146,16.35,-18,135
43,-10,34,-11,13,-8.55,8,69,28,7,13,63,-50,45,41.72
