60,-10,0.43,-20,131
90,6,67.68,76,67
92,7,122,109,122
8.71,12.24,102,-11.44,48.48
79,-17,44,139,33
144,8.2,-29,-31,30.92
-46,7.53,136,26.63,108
-22.33,12,56.75,-13.06,63
35.21,59,68.93,91,45
117,148,64,147,-39
48.22,59.87,111,137,-39
41.16,-7.49,110,99,30
93,18,11,-7,136
1.73,27.08,31.8,63,21.05
83,143,53,52,49
-4.51,-39,31.98,141,0
53,106,6.67,31,25
58.56,3.15,112,145,127
12,138,7.44,94,-49
87,-17,-20.02,-41,-45
-43,21,-13.89,42,66.83
8,142,55.87,1,-27
-13.31,46.08,20.11,9.85,34
70.65,46.58,28.85,58,58.63
11,66.86,40,-10.84,75
39.82,98,-19,36.47,74
32,133,36.86,79,-22.64
55.31,76,14.62,123,47.49
139,69.46,-35,68.9,20
94,81,29.67,-3.59,-10.02
134,-10,38,143,123
95,-46,-11,112,54.73
-2.3,35,41.04,40.92,51
71.47,-18.68,66,65.44,-9.9
-3.19,137,25.65,128,-23.69
35,40.5,58.44,49,55.85
54,74.44,48,37.39,57.85
114,-9.14,45.52,66,69.81
-3,51,16.74,45.73,25
82,51,5.2,22.5,-2.24
28.44,17,86,40.13,30
-42,49.32,11,13,38.68
41.63,5,0,7.4,44
138,56.79,116,3,46.22
46.73,38.13,71,72.34,99
48.33,56.07,51,-48,37.94
14,61.03,108,10,32
1,13.22,58.47,54.12,50.59
122,-22,9,18,39
21.12,59,35.2,0.5,75
137,-6.71,-11.2,5.86,-4
29.07,127,62,-35,-27
-41,115,34,101,31.22
9.13,109,-9,43.46,-10.25
-37,53.38,-23.79,62.26,-24
87,55,24.93,-20.03,-5.34
-24.21,27,7,3.72,8.75
-15.55,-3.93,-1,93,0.14
-7,67,38.28,41.46,34.64
85,55,-22,29,7
64,17.44,-24.35,133,-2.32
51,10,48,-14,98
65.05,4,42,-9,20
27,110,121,18,64
-2.44,22.9,4.14,-9.93,36
65,68,8.94,110,50
99,71.98,71,33.36,-14
-28,-19.65,52,146,-13.1
5.51,1.62,27.7,51.76,22.36
-6,4.87,61.86,147,64.65
35,11,111,138,-8
53.07,11,-1.4,28.87,-43
123,-1.72,0.3,-11.74,23.31
46,25,-13.83,67.57,73.83
56,98,140,64,145
1,50.57,-5.66,-6,-32
12.91,25.81,128,51.16,58.77
133,-42,9.23,36.15,11
-1.84,66,37,102,65
67.9,-2.78,52,39,-41
-41,1,-32,48,-17
-34,85,104,-22.43,69.58
-18.37,57.53,38,91,-10
44,-0.18,72,13.04,-21
-13,35,-13.99,-12.88,-34
-7.12,55.8,84,-1.76,-50
143,37,64.38,21.68,85
133,63.13,99,70,71
-47,18.3,71.25,73,-26
-6,14.25,47,-32,91
28,42,60,79,-22.22
-28,48,-2,4,49
70.13,59,-18,-5.53,107
-1.98,-2.52,10.26,78,-6.09
49.14,87,-19.37,101,43.42
-50,15.11,42.56,20.73,13
-26,-46,31.33,111,21
111,-21.47,147,146,57.11
30.89,27,72.94,74.45,-14
136,138,39.16,-23,62.14
