61,56,33.88,52,75,-16,17,-1.91,10.16,-3.5
9.57,21,57,78,48,76,19.55,8.52,51,-3
31,30.55,71,-6.93,19.84,12,76,34.51,20.29,72
5,-8,0,24.54,-1,29.06,-16,27.9,39.04,57
34.85,72,49,7.36,30.95,-0.14,45,24,15.65,-5
40,-9.47,16.44,25.37,20,-1.01,30,12.93,-5.05,73
30,60,67,2.79,35.5,76,8.06,31.19,24.48,4.07
50,-15,-18,76,21.39,39.69,44,6.45,32.09,34
18.4,-0.54,65,8,-10,-19,51,-3,43,79
11,74,28.8,4,34.29,10,10.94,66,37.58,37.19
32,5.24,16.44,39.04,18,76,-19,18.89,76,72
13.62,19.6,-0.7,43,12,27,2.98,64,23.98,-15
43,28,74,32,16.05,32,75,18.3,25.59,17
13.64,37,54,3.64,-1,0.32,30,-4,78,69
35,10.08,43,75,-5,-6.1,-16,57,3.74,74
63,19.21,-4.18,33.25,27.45,39.45,-17,33,60,-6
-3.79,46,1,14.6,-13,55,-6.4,21.91,22.42,19.3
15.26,40,29,-1.35,-0.01,30.54,29,37,-17,7
0,-16,-2.64,39,44,-4.77,22,25.07,35.9,25
56,31.67,26.16,-12,15.58,22.72,-4.94,-11,30.24,78
75,69,0,-2.41,22,5,17.27,37.9,-5,78
-7,29,14,29,37.95,-12,28.58,20.29,0.74,41
-11,-4.81,11.02,18.07,46,11.48,66,31,34.96,30.92
14,16,34.57,1.45,26,1.42,20,-18,20,-19
16,17.94,40,18.8,-8.01,37,-6.91,3.5,17.59,12
14.49,23.63,61,7,-4.92,-0.26,29.1,24.88,-2.15,47
15.69,20.79,23.4,30,5.13,57,0.47,33,69,9.03
-5.36,-6.07,24.04,78,23.82,50,-9.83,4,25.93,18
19.12,7.07,9.52,28.7,37.67,5.85,74,43,50,-20
14,15.39,43,16.2,3.14,76,22.19,60,76,10.58
-8.96,-13,18.93,52,5.98,-14,24.71,13.69,30,-19
43,50,76,3,24.94,7.59,-6,70,-14,-15
11.8,7.18,38.36,50,2,64,61,26.83,8,38.52
-2.73,-0.93,49,-0.2,26.56,-11,7.24,24.97,20,-0.95
16,11,23.08,-4.87,-2,42,11.75,27.28,66,-0.35
51,-9.92,43,24.01,-8.28,22.49,27.28,60,32.36,-2.46
9,36.71,7.2,37.17,36.22,2,63,-9.41,13.92,26.37
-16,-1,33,6,59,60,1.62,22.18,-6,48
14,-4.62,-7.55,-8.4,6.85,7.8,74,32.06,2.1,6
40,35,7.44,0.07,51,70,30.73,-7.33,-4.06,53
44,77,20,78,12.6,60,19.07,67,21.78,36.48
10.54,35,51,38,70,-6.29,21.87,8.83,66,15
41,57,-3.22,27.05,3.91,-19,-4.79,15.27,-9,4.51
64,-4.88,34.22,20.79,49,14,-2.33,60,17,24.44
37,24,10.93,10.88,70,22.53,63,29,2,41
12.04,-4,17.81,-1.53,24.02,2,-8.05,37.47,13.69,26.6
19.16,46,35,12.26,29.07,76,11.36,-5.36,-2.87,-8.66
4,-1.89,20,-10,49,19.45,-5,13,25.15,29.3
-7.4,36,39.64,23.39,-5,11,25.71,16.57,76,-12
0,12.42,16,15.54,17,-12,48,26.78,-17,74
11,65,32.09,-1.71,3.65,37.03,22.01,-8,58,72
45,-6.14,36,15.61,19,-2,-6.31,-16,4.96,30.73
-2.95,-13,7.3,-4.5,36,-0.68,35,7.98,-1.98,-10
-7,25.91,-14,27,22.61,-20,38,38,-7.01,61
-0.61,67,21,30.76,15.08,-0.8,49,11.48,34.04,3.08
12,15.66,10.37,28.27,-12,22.25,38,13.74,17.82,77
38.98,51,13.45,-9.35,13,29.04,-4.07,33.21,-8,48
7.69,22.67,72,20,-19,-2.76,35,20,5.75,74
58,18.38,-6.47,-7.6,43,24.75,5.3,37.01,14.74,39.84
33.17,75,28.44,12.02,40,46,14.62,12,-8.45,38
4.87,23.25,-1.45,23.78,66,20.64,-18,10.79,76,36.18
63,11.18,-2.77,69,1.44,72,38,-3.53,7.15,46
15,30,30,22,-9,67,-8.98,70,45,21
-6.56,37.55,7.2,34.03,47,20.75,3,34.24,36.46,36.54
23.38,36.92,67,-20,33.41,13.88,37.12,18,45,28.46
-19,32.77,73,16.52,4.47,46,-1,47,43,9.49
36.51,18.03,48,31.53,10.34,5,45,56,-1.69,15.92
13,0.36,22.81,58,3,-1.06,-13,66,9.43,39
-2.51,21,12.81,18,7,10,35.75,35,23.69,33.1
-12,30.16,-14,9.64,1,50,-8,74,-5.11,-9.59
38.87,21.78,74,27.48,30.4,37,46,14.25,61,33.35
-14,-6.29,30,48,28.56,-16,54,-16,21,16
25,-6.9,42,8.76,47,9,66,4.31,-8,24.47
79,31.94,29,7.59,21,31.73,-14,18.65,22.66,14.81
53,38,14.99,18.39,30,-2.78,39.57,31.34,-3.36,-8
65,5,-0.73,-18,16.3,8.71,17,-5,14.28,3.23
5.28,8,4.92,9.16,20.19,31.31,15,37.33,67,-3
26.84,-20,5.26,-3,22.49,75,1,-7.84,21,1
47,51,21.97,9.16,35.65,72,58,50,24,17
37,14,28.58,49,30,10,14,6.59,29,-6.75
63,30.27,57,15.12,8.78,74,24,-4.92,-12,2.41
21.11,42,-4,-17,32,-13,28,-17,-8.85,68
-2.81,7.6,3.69,-4.48,-19,47,26.56,8.84,70,44
20.17,-4,31.28,65,22.38,29,24,65,33.59,49
44,13,64,-13,45,16.13,15.34,72,48,49
0.35,20,46,53,18.28,31,63,22.26,9.64,6
7,52,77,13.99,32.5,64,38,-3,-5.81,25.42
1.98,75,38.69,4.05,18,-6.64,47,21.84,38.29,70
-6.08,-16,10,-16,-4.7,-17,-7,26.1,57,-9
20,18.91,15.13,24,44,14,73,37.71,12.2,3
-1,-16,5,-17,16.89,34.97,78,47,2.47,33.71
9.38,37.7,15.99,12,-10,36,7,-14,54,14.47
2.5,-17,13.9,34,38,35,31.32,67,5.28,28
58,12,29.2,32.91,-7.91,3.68,37,32.6,-5,21.35
-16,37.82,-9.51,20,39,25.64,67,-15,38,9.12
45,0,3,-7,21.27,77,8.49,3.88,-1.62,68
17.85,0.87,7,-2.23,25,32.28,-9,28.57,6,52
31.07,31,6.72,70,38.83,-15,-3,57,28,50
51,24,19,32,5.98,5.82,9.92,17.92,50,-12
77,35,60,-1.72,1,17.07,15.59,24,24.3,14
6.58,68,29.33,13.92,0.6,34,39,21.88,13,73
2.8,-20,-15,43,62,21,22.04,-3,72,18
21,34,-9.38,3.25,16.03,2,-15,-3.22,31,17.19
28,1,-3.7,60,6.26,20.59,35.85,59,12.97,35.74
-5,49,31,65,16.84,2,58,-14,36,-7.19
48,-2.43,47,51,-1,11,-6,-5.06,46,5.72
23.21,39,23,27.87,-6.6,12,17.27,-2,3,68
-1.91,12.57,35.76,-1.05,13.77,-11,8,-2.28,32,34
29.12,75,72,14.85,38.52,4.27,30.76,23.78,26.25,20.4
19,32.33,-11,-7.12,-16,21.97,7,43,39.8,29.31
39.3,66,-14,52,35.38,15.61,5,50,-10,26
39.08,13,18.34,8.96,-5.99,24.75,72,36.31,46,25.17
57,12.04,10.51,16.14,23,49,35.05,61,17,22.48
77,32,1.04,23.05,36,36.36,58,18.69,21.15,-6.06
65,-6.14,15,27,-7.09,-9.14,-6.97,44,51,30
60,15.43,-11,7.6,19.73,24,27.2,-18,-14,67
-4.46,4.49,34,35,21,73,-9.03,18.49,26,-2.94
6.11,15.39,30,-0.82,7.45,59,13.28,73,56,33.46
-2,31.52,-16,-18,33.28,44,-6.43,-8.41,22.33,37.04
9,45,35.41,67,22.85,14,33.56,37.44,25,54
30.07,38,31,-8,-12,24.35,29.85,54,53,28
26,6.24,50,6.03,34.33,74,59,8.4,46,47
60,61,26,40,6.25,34.45,14.45,-8.96,-7.28,5.69
3,19.4,20.84,13,-14,-1.03,33.71,3.56,-12,-7.85
40,50,43,22.65,10.18,-3.48,-13,27,19,34.84
27,36.47,14,25.26,1.23,-13,17.27,63,22.94,34.08
30,55,23.63,8.82,-16,46,66,68,-1,24
